Model,Features,Num Features,CV_AUC
Random Forest,"('slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",3,0.9645390624999999
KNN,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation')",4,0.9644375000000001
Random Forest,"('intershoulder_distance', 'necklength_y', 'normalization_factor_distance')",3,0.96426953125
Random Forest,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation')",3,0.9642421875
XGBoost,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation')",3,0.9634609375000001
XGBoost,"('slouchangle', 'nose_normalization_factor')",2,0.963265625
XGBoost,"('necklength_y', 'slouchangle', 'angle_of_rotation')",3,0.9631210937500001
KNN,"('intershoulder_distance', 'angle_of_rotation', 'nose_normalization_factor')",3,0.96072265625
Random Forest,"('intershoulder_distance', 'necklength_y', 'slouchangle')",3,0.9605937499999999
KNN,"('angle_of_rotation', 'nose_normalization_factor')",2,0.9593671875
XGBoost,"('intershoulder_distance', 'necklength_y', 'normalization_factor_distance')",3,0.95903515625
KNN,"('necklength_y', 'angle_of_rotation', 'normalization_factor_distance')",3,0.9587851562499999
XGBoost,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation')",3,0.9586875000000001
KNN,"('necklength_y', 'slouchangle', 'angle_of_rotation')",3,0.9582265624999999
XGBoost,"('normalization_factor_distance', 'nose_normalization_factor')",2,0.95771484375
XGBoost,"('necklength_y', 'angle_of_rotation')",2,0.9575234375000001
XGBoost,"('intershoulder_distance', 'necklength_y', 'slouchangle')",3,0.95728125
Random Forest,"('necklength_y', 'slouchangle', 'normalization_factor_distance')",3,0.9568046875
XGBoost,"('slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",3,0.9564335937500001
KNN,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",4,0.95635546875
KNN,"('intershoulder_distance', 'necklength_y', 'normalization_factor_distance')",3,0.95618359375
Random Forest,"('necklength_y', 'angle_of_rotation')",2,0.9550234375000001
KNN,"('slouchangle', 'nose_normalization_factor')",2,0.9542695312500001
KNN,"('intershoulder_distance', 'necklength_y', 'slouchangle')",3,0.9530820312499999
KNN,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation')",3,0.9523164062500001
XGBoost,"('intershoulder_distance', 'necklength_y')",2,0.9521484374999998
Random Forest,"('intershoulder_distance', 'slouchangle', 'normalization_factor_distance')",3,0.95147265625
XGBoost,"('necklength_y', 'slouchangle', 'normalization_factor_distance')",3,0.9504531249999999
KNN,"('normalization_factor_distance', 'nose_normalization_factor')",2,0.94993359375
Random Forest,"('intershoulder_distance', 'nose_normalization_factor')",2,0.9491796875
Random Forest,"('intershoulder_distance', 'necklength_y')",2,0.94776953125
XGBoost,"('intershoulder_distance', 'slouchangle', 'normalization_factor_distance')",3,0.9468203125000001
KNN,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation')",3,0.9464765625
XGBoost,"('slouchangle', 'angle_of_rotation')",2,0.94596484375
Random Forest,"('slouchangle', 'angle_of_rotation')",2,0.9452031249999999
KNN,"('necklength_y', 'angle_of_rotation')",2,0.94463671875
XGBoost,"('necklength_y', 'normalization_factor_distance')",2,0.9446015624999999
XGBoost,"('intershoulder_distance', 'nose_normalization_factor')",2,0.9439257812499999
KNN,"('slouchangle', 'angle_of_rotation', 'normalization_factor_distance')",3,0.9425546875
KNN,"('necklength_y', 'slouchangle', 'normalization_factor_distance')",3,0.9422421875
Random Forest,"('necklength_y', 'normalization_factor_distance')",2,0.9390468750000001
XGBoost,"('intershoulder_distance', 'slouchangle')",2,0.93576171875
KNN,"('intershoulder_distance', 'slouchangle', 'normalization_factor_distance')",3,0.9342070312499999
KNN,"('intershoulder_distance', 'necklength_y')",2,0.9330351562499999
KNN,"('intershoulder_distance', 'nose_normalization_factor')",2,0.9294726562500001
Random Forest,"('intershoulder_distance', 'slouchangle')",2,0.9281484375
KNN,"('slouchangle', 'angle_of_rotation')",2,0.9241015625
KNN,"('necklength_y', 'normalization_factor_distance')",2,0.923765625
XGBoost,"('necklength_y', 'slouchangle')",2,0.921046875
XGBoost,"('slouchangle', 'normalization_factor_distance')",2,0.9191445312500001
Random Forest,"('necklength_y', 'slouchangle')",2,0.9177421875
Random Forest,"('intershoulder_distance', 'angle_of_rotation', 'normalization_factor_distance')",3,0.9176249999999999
KNN,"('intershoulder_distance', 'slouchangle')",2,0.9175546874999998
Random Forest,"('slouchangle', 'normalization_factor_distance')",2,0.9160703124999999
KNN,"('necklength_y', 'slouchangle')",2,0.9088046875
XGBoost,"('intershoulder_distance', 'angle_of_rotation', 'normalization_factor_distance')",3,0.9066875
KNN,"('intershoulder_distance', 'angle_of_rotation', 'normalization_factor_distance')",3,0.9025234375
KNN,"('slouchangle', 'normalization_factor_distance')",2,0.8972109374999999
XGBoost,"('nose_normalization_factor',)",1,0.89408984375
KNN,"('nose_normalization_factor',)",1,0.87135546875
KNN,"('angle_of_rotation', 'normalization_factor_distance')",2,0.8638984375
XGBoost,"('intershoulder_distance', 'angle_of_rotation')",2,0.862890625
XGBoost,"('necklength_y',)",1,0.86006640625
Random Forest,"('angle_of_rotation', 'normalization_factor_distance')",2,0.8591093750000003
Random Forest,"('nose_normalization_factor',)",1,0.85811328125
XGBoost,"('angle_of_rotation', 'normalization_factor_distance')",2,0.85679296875
Random Forest,"('intershoulder_distance', 'angle_of_rotation')",2,0.8556796875
KNN,"('necklength_y',)",1,0.8537734374999999
KNN,"('intershoulder_distance', 'angle_of_rotation')",2,0.83860546875
Random Forest,"('necklength_y',)",1,0.837515625
XGBoost,"('intershoulder_distance', 'normalization_factor_distance')",2,0.8136093750000001
Random Forest,"('intershoulder_distance', 'normalization_factor_distance')",2,0.8023906249999999
XGBoost,"('angle_of_rotation',)",1,0.800984375
XGBoost,"('slouchangle',)",1,0.7998046875
KNN,"('intershoulder_distance', 'normalization_factor_distance')",2,0.7942265624999999
KNN,"('slouchangle',)",1,0.76237890625
KNN,"('angle_of_rotation',)",1,0.760421875
Random Forest,"('angle_of_rotation',)",1,0.7437304687499999
Random Forest,"('slouchangle',)",1,0.742625
XGBoost,"('normalization_factor_distance',)",1,0.7422226562500001
XGBoost,"('intershoulder_distance',)",1,0.7236757812500001
KNN,"('normalization_factor_distance',)",1,0.71258203125
Random Forest,"('normalization_factor_distance',)",1,0.6903828125
KNN,"('intershoulder_distance',)",1,0.6846796875
Random Forest,"('intershoulder_distance',)",1,0.6675390625000001
