intershoulder_distance,necklength_y,slouchangle,angle_of_rotation,normalization_factor_distance,nose_normalization_factor
0.24295669418328317,-0.17994379997253418,42.7572634558995,0.8548191233847717,0.43755811508177905,0.2686746826219454
0.2656837235055732,-0.1792684942483902,44.437335742747685,0.8611923804566123,0.44992492268405376,0.26804443178267073
0.28412245009481096,-0.17529618740081787,46.20565197124673,0.8788609717719978,0.45984683605102644,0.2654974558157869
0.3014572919922918,-0.17244933545589447,47.13534461480005,0.7958466256584176,0.42646299951904787,0.2662210486092452
0.3047490043422213,-0.17125214636325836,47.51572656428172,0.6699411828867183,0.38858807429567976,0.26863560436880474
0.30956005813342796,-0.17209431529045105,46.81341108782754,0.466936315548713,0.3438827224343077,0.2706794057482859
0.3188037551982281,-0.17036019265651703,47.33946958918868,0.44440547529795704,0.34555610659882974,0.2710291952997863
0.3241344653730692,-0.16933146119117737,47.3799737873747,0.34198115860408856,0.3364880899802206,0.27238191072328144
0.33251558681106724,-0.1682858169078827,46.873511623522134,0.12042093542391531,0.32620943204428493,0.2743730478814094
0.3316375128673436,-0.16742876172065735,47.2039016416017,0.16731194147078618,0.32933298405585465,0.27415852355319176
0.33030977647386117,-0.1679123491048813,47.59941824657322,0.16911006779339563,0.3351627544562766,0.2756109731530125
0.32951440744301447,-0.16712938249111176,47.60453392757994,0.09785855299256145,0.33420764109592754,0.27534295666132885
0.3298803821455895,-0.1654186248779297,47.365566650779954,0.010703443177158344,0.3326284335401686,0.27466563162286983
0.32955777042927786,-0.16501840949058533,47.63278243889107,-0.017432325177038306,0.33275582396752473,0.27514255475306093
0.33235236036839344,-0.16449609398841858,47.915541691023655,-0.02859254517136276,0.33041708467274195,0.2754604588007964
0.33206266286462055,-0.1634228527545929,48.00008564419254,-0.03285355265357598,0.3249798355998504,0.2746943163512343
0.33434510938317824,-0.1628425568342209,47.684257250165686,-0.21641483175448592,0.3267156103951337,0.2714043597929044
0.3351600227850798,-0.1636117696762085,47.41172058613156,-0.2513057414120693,0.3226442213721622,0.271516089867384
0.3353124926118584,-0.16496312618255615,47.62129085796753,-0.24980837574532863,0.3195432505374373,0.2720322160496535
0.33560865632406267,-0.16603629291057587,46.80878382821324,-0.5362095246884412,0.3573159010423627,0.2732178761302401
0.334678754722404,-0.166420117020607,45.71957963357803,-0.5725635972327903,0.3656710969218888,0.2733476287079263
0.3309672591290814,-0.1658383160829544,43.37593282046387,-0.590780548488401,0.3657166660200067,0.27421221759549236
0.3298778503608575,-0.16473664343357086,43.68255729506353,-0.5919940736497626,0.3580683730230672,0.273133945129249
0.3263416122701694,-0.1642201542854309,43.814707584305395,-0.8262621851453054,0.4154025968362155,0.2750222907526345
0.32426732290974913,-0.16109050810337067,43.8911000155657,-0.9108211122560329,0.449336753042235,0.2726327433285549
0.3034337790170646,-0.15994955599308014,42.4898212287346,-1.0550667383715457,0.5380396920869848,0.27228474078373754
0.29622238731338457,-0.15314088761806488,43.04836055030678,-1.0007734987102213,0.48620228240087915,0.26682485169665465
0.2878164731510494,-0.15330009162425995,41.81772382927384,-1.0040238649542588,0.4925983287065061,0.2675003765720493
0.2729267505045853,-0.14785227179527283,44.76549176103376,-1.1405111515231343,0.5969814402170319,0.26364254926280906
0.2547557867761933,-0.14628054201602936,45.05932263258271,-1.1943306210549827,0.6481497939224805,0.26356113185892893
0.25256227933589975,-0.14605212211608887,45.13470970467905,-1.182250354164147,0.619182845361136,0.2601342081389475
0.24233678014782434,-0.14572972059249878,45.236672173280446,-1.2352793581392487,0.6660752450186234,0.2571177910740417
0.2310229142796119,-0.14366714656352997,46.2691135153323,-1.2847613739179038,0.71687910642347,0.2548039573072608
0.2226593310995111,-0.14229287207126617,46.799981480066776,-1.2934051130869662,0.712621358259397,0.2503422824477718
0.20911912114172715,-0.1406431794166565,46.46699932248566,-1.3234238181812863,0.764221290724576,0.2501992860724429
0.20132640363231122,-0.1402115672826767,47.48137436145733,-1.3246180732585964,0.7267989892657838,0.2482209336128943
0.19511739359963226,-0.13617882132530212,49.55842304419044,-1.3336392703639848,0.7305477873102102,0.24490044833735455
0.16800982096505515,-0.13864503800868988,49.95302580098385,-1.3894618581687057,0.7780291474860818,0.24529539441059836
0.16737493996802094,-0.1407775729894638,49.322676866740515,-1.40164032013011,0.8157257527656612,0.24651994500971314
0.15884359021865843,-0.1448654681444168,49.5695441161682,-1.4117934423604297,0.8586388737954214,0.2487359139976308
0.1551802658653957,-0.14452065527439117,50.16538935416981,-1.4155125927637633,0.866414494186339,0.25045692414454845
0.15820183709639207,-0.15060482919216156,48.65581246786816,-1.4092044548767575,0.8308801888579059,0.24978719544635145
0.14815368706879253,-0.15131279826164246,48.75077442154408,-1.4240715059052365,0.8219399691688264,0.2509318106924894
0.12195454975592222,-0.1538453996181488,49.38607063562963,-1.4612696328438406,0.8170300225402535,0.2534139278525092
0.10863409442992557,-0.15363211929798126,49.82001095561937,-1.4714651391994644,0.8267589360710723,0.25472710263541354
0.11607990168359035,-0.15065176784992218,49.81523299046577,-1.4628978674077437,0.8475101560409233,0.2552310711668007
0.12104656785878304,-0.15071357786655426,49.59291316062508,-1.4571699924399693,0.8396690422785558,0.255384197320479
0.12246470433123284,-0.1499367505311966,49.75305215715177,-1.4542826907665507,0.8401829563011713,0.25473260556737326
0.12039349622260256,-0.13628754019737244,52.60923344429458,-1.4801968539906845,0.8605426875924543,0.25436322971584585
0.12354577436709886,-0.13371187448501587,52.63530765761727,-1.4817026291141973,0.8832009216750992,0.24771956702952547
0.10581858236822636,-0.12805944681167603,53.69296616245241,-1.498606157057915,0.8702539538278297,0.24501783692024376
0.1037128209049702,-0.12062543630599976,54.86810921787345,-1.49504056990587,0.8709968384278172,0.24470296485433793
0.11394710819328342,-0.12138427793979645,54.176450919764974,-1.4856248528968923,0.8799671035451386,0.241669027194618
0.11078651388793599,-0.12184756994247437,54.45930997324036,-1.4850693425616666,0.8634084865577112,0.24551934046852752
0.12218750082286164,-0.12362024188041687,54.36585513750966,-1.4691943266924286,0.8362604542005592,0.24496402129739084
0.1208984075049709,-0.11983166635036469,55.10354238985971,-1.4652673173922262,0.8394594087286426,0.24102093106145261
0.14126434708395624,-0.1313614398241043,52.80186954664553,-1.4422598760370833,0.8323976256596275,0.24187090571389014
0.14415310173690893,-0.1287897676229477,53.279021882860555,-1.424936119623174,0.8024407173963933,0.24520955479570866
0.15391391385901632,-0.13620680570602417,50.828200474255,-1.40507924961966,0.7747682313879279,0.24364540156500758
0.1791891718211831,-0.13698166608810425,49.787024148426134,-1.3618303986177875,0.7499142342371745,0.2444868050701525
0.18776831357067555,-0.13934661448001862,48.70434641534922,-1.3610182886206939,0.757793443643414,0.2429173537485296
0.2039385830971521,-0.140780970454216,47.95821539302381,-1.3374607777665013,0.7552685478121437,0.2453147250584134
0.22437125292310994,-0.14294737577438354,47.96381573867742,-1.2941395039749026,0.7053796890378865,0.24273642204843054
0.2374857805482159,-0.1426869034767151,48.29582032003503,-1.2674845607305119,0.6888830026608658,0.24308755744011937
0.24881397117558954,-0.14187829196453094,47.8477064885109,-1.2436325844468405,0.6823338602901412,0.24296188003138933
0.25727331813448473,-0.14175371825695038,47.72388850564226,-1.215404437416483,0.6421976020276082,0.24376379712652468
0.2749469690362089,-0.14208778738975525,46.74808780192551,-1.0952165031983254,0.5273639742242712,0.24293303252249374
0.2837714447659179,-0.14288155734539032,45.43487360632919,-1.041971893471333,0.498101067513541,0.24327020503799207
0.2962774703120322,-0.14768648147583008,43.34145006773043,-0.7119740226865093,0.35033117926170604,0.2452078650993326
0.3043124698594753,-0.14880266785621643,43.99765019010271,-0.6576031241173516,0.3433811745418381,0.24608392455689346
0.3120095978706762,-0.16307443380355835,42.99856605393227,-0.1781897886489942,0.29662818383489614,0.25320794546958003
0.3131959996465964,-0.16563591361045837,42.18700182652915,-0.3480166626287048,0.31741796060681937,0.2610618508302257
0.31032911101097393,-0.16649286448955536,42.41227560040518,-0.32483864809649926,0.3226940219661712,0.26249926961074793
0.3152005567283707,-0.16995272040367126,42.6999203114928,-0.22942940342833143,0.32066908133400235,0.2660653017511135
0.3181116949221047,-0.1722940355539322,42.8535804850764,-0.15278702021850948,0.31950095299518677,0.2698674340898486
0.3158716473532071,-0.17231371998786926,42.78276288298277,-0.11916070521087534,0.32378763277966893,0.2718382570544713
0.3171208329046392,-0.17221735417842865,44.07248216424834,0.005825150380701395,0.3263278222143122,0.2738840773311245
0.32034889822055534,-0.17240898311138153,45.07436514607771,0.061452988607345875,0.3311418680505083,0.27639247852901994
0.3271831350658955,-0.17125597596168518,45.87625151086437,0.07071411209660898,0.33199262687282466,0.2756373188858305
0.3274154707934197,-0.16956333816051483,46.27389893676049,0.03888926962377584,0.3301308259635494,0.27408371603645776
0.32936708162304273,-0.16668987274169922,47.43060585273339,0.08975469837100224,0.32995003993912975,0.27293716965098075
0.3303921322939876,-0.164322167634964,47.79048056975701,0.09738593905685551,0.33204861010244174,0.2719306417504047
0.3313194824570609,-0.16337420046329498,48.08820698323258,0.13120130424517112,0.3331819575258075,0.270149603668477
0.3323423205509835,-0.16373604536056519,48.02036087762042,0.14592845392426873,0.33539048681117695,0.27017268354035323
0.3312661574808429,-0.1640249639749527,47.78582518459288,0.1512177028318947,0.3321196980724832,0.26992665650952086
0.33131866236790497,-0.16293546557426453,47.97596357462583,0.14625669004105546,0.32894552943559896,0.267982672772663
0.3309829634283725,-0.1623641550540924,48.3783643278151,0.21387962756950185,0.3299717393774345,0.26477293643117955
0.3306629043226343,-0.16187243163585663,48.462300085535766,0.19224280049797854,0.3260548850655227,0.26206216370140806
0.33172987723005054,-0.16130422055721283,48.35580515561198,0.1905023977726454,0.3246184955707258,0.2579720824683532
